text,Emotion
i experience all my normal moods feel annoyed when my year old whines or my baby wants to be held while im making dinner but i no longer feel consumed by these emotions,anger
i get the feeling that the rest of yall are a little appalled about it,disgust
i feel that this was their mistake and they are just being rude,anger
i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back,surprise
i do find myself feeling anxious seeing what everyone else is doing and feeling that i am not up to part with my peers and or i am stagnate,fear
i cannot help but feel a bit anxious on how this delivery will go hopefully another vbac if all goes as planned,fear
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,fear
i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,fear
i also love seeing a star emerge and i feel like in a few years everyone is gonna know and i can be one of those people who says obnoxious things like bah,joy
i am this thing i have these feelings and i m not afraid to express them and to stand up for what i believe in,fear
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend,disgust
im feeling a bit apprehensive about it as i dont know if my little note cards will stand out from the mass of talent on etsy,fear
i feel like ya allah im scared puff it was fun man then id an idea,joy
i start feeling anxious again,fear
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,anger
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,joy
i can feel their afraid,fear
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,joy
i feel more grounded and less fearful,fear
i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,sadness
i began to feel very afraid of disappointment during the tour just because the rain and fog continued,fear
i had felt kind of ick but just figured it was nerves or feeling anxious,fear
i was feeling all resentful that id been given such a boring assignment and,anger
i have been working hard to shake these feelings because being popular or a genre novel or non literary fiction does not make a book any less legitimate or any less something to read and enjoy and analyze,joy
im not as mad and upset as i was on day but i feel scared now,anger
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger
i wish i could say fuck you to people who make me feel insecure for ever to have existed,anger
i was feeling apprehensive about my life as a student i felt like i couldnt succeed wouldnt succeed could never succeed,fear
i feel like i got resentful and tired and i just wanted to talk to him so badly,anger
im feeling agitated again the usual evening mood that is becoming the norm,anger
i could feel its warmth in the strange stillness and it comforted me,surprise
i do at times feel a bit strange with my mom ushering her about as though shes her traumatic brain injury is really doing a toll on her mental and physical capacities,surprise
i hurt and feel suspicious and definitely get angry,anger
i must confess im feeling a little overwhelmed,surprise
i feel like a paranoid annoyance when in reality she wouldve talked to anyone that way,anger
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger
im feeling kinda shaky my mind is full of doubt good luck love you,joy
i sometimes feel very vulnerable,fear
i am not okay with feeling annoyed at myself and at life all the time,anger
i am feeling hostile enough that i even hate jim right now,anger
im feeling pissed and sad right now,sadness
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,fear
i love running because i feel strong and powerful and totally in control,joy
i alternated between wishing i would die and then feeling terrified that something would happen to me leaving my newborn son without a mother,fear
i feel selfish thinking this way but i feel so lonely at times,anger
i feel happy now that i am enjoying the changes in my life and looking forward to the unknown good times that are yet to come autumn and winter are suddenly just new steps on the journey,joy
ive been feeling disgusted and ashamed,disgust
im most afraid of i already feel slightly out of place at cru because while most of them will say they are my friend very few of them bothered to reach out and ask how things were going in australia,anger
i feel as weird criticizing this game as much as i feel weird praising it,disgust
i feel very comfortable with this decision,joy
i am feeling remotely dignified tasteful or comfortable,joy
i can see or feel about it is the divine possibility of being with you away alone for one long golden day at last anywhere,sadness
heated discussion with spouse concerning new house,anger
i feel that popular bloggers dont post with freedom anymore there will always be part control rare exception is the blog love aesthetics,joy
i can never fall in love with anyone because my feelings make me too dangerous,joy
i am still numb i question everything about what i feel and terrified to trust all my feelings,fear
i feel scared and worthless when someone doesn t love me,joy
i somehow feel terrified as though if i dare slow down or walk in place to catch my breath billy blanks will jump out of the screen and yell into my face with all his fierceness,sadness
i felt jealous when you i feel insecure when,anger
i over think you think i really feel insecure,fear
occured while preparing for a midterm in social welfare that i thought was going to be very hard and felt unprepared for,sadness
i just really need the money right now and i feel like some greedy nasty aunt for not wanting to hand everything over,disgust
i entered the temple feeling vaguely terrified,fear
i feel like i was a rude ass hole at hookah,anger
i do sometimes feel like im in this strange in between world,surprise
i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,surprise
i get involved into a tale of good versus evil i want to feel afraid of the dark to a certain extent,fear
i admit that with all the thoughts that go through my head i feel doubtful at times coz im scared,fear
i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,sadness
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,fear
i couldn t feel anything other than some strange tugging so i was relieved to say the least,surprise
i worked today on writing and making sure the rest of the house was as perfect as i could make it to feel our own peaceful sense of order pm linda writing always makes you feel better and accomplished too,joy
i dont know what it is but i have been feeling less paranoid,fear
i hate feeling so indecisive about things because i keep my emotions under lock and key,anger
i feel like the thing im most nervous about is having two kids,fear
i remember that beauty truly is in the eye of the beholder people see the beautiful compliment as a statement of how valuable they find that person and people don t want to kick someone when they are feeling vulnerable,fear
i feel fearful,fear
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger
i feel more resolved and less like smoking my lungs today are obviously not very happy with me,joy
i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,fear
i cant help but feel a little jubilant as i walk through the arrivals gate,joy
i hadnt read on a blog before and you guys i feel thrilled that i know you at all,joy
i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions,joy
i get changed i am feeling insecure,fear
i am mostly feeling contentedly terrified about it all,fear
im feeling rather inspired yet low i will enjoy my writing and even though i may be writing about morbid things i will find a way to make it interesting to read,joy
i still feel annoyed and the older sd is always sick with something and i mean always,anger
im not too psyched about any of those stops but thats kind of a good thing because i wont feel pressured to go see and do everything there is to do and i can just hopefully relax and focus on making it fun for the kids which by extension makes it fun for me,joy
i hate that feeling when im about to do something then i get scared and almost turn around and walk away,anger
im so relieved and feel so much more like myself now that this is resolved this being almost nothing at all actually just some weird energy and i cant wait to be back at camp even though ill be hacking and coughing and spluttering all day long,disgust
i feel outraged about this type of thing,anger
im currently struggling with feeling offended at my drs office worried about my body and what the heck is wrong very seriously contemplating getting my tubes tied and then the normal everyday things that occupy our minds at any given time,fear
i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,joy
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger
i miss her so much every moment but now i feel like i miss her even more like she is as far away as she has ever been because i am so distracted,sadness
i hate feeling that im so indecisive,anger
i feel shy at the fact that i love these inanimate things,joy
i wanted but knowing nothing about it i stepped into the candyland of make up looking haggard and left feeling radiant with a bag full of products of course,joy
i feel so weird about it,disgust
i feel a bit strange publishing these beautiful photos,surprise
i feel like a mouse among men perpetually terrified,fear
ive started to delve deep into myself and evaluate everything that has made me feel insecure or unworthy,fear
i feel so agitated about this,anger
i began to feel less anxious,fear
i cant explain how i truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood to dance wanting chocolate wanting to socialise right now smiley and about here i lose words that express but bah so emo,joy
i feel so peaceful so i know i made the right decision,joy
i am a bit out of my comfort zone too and im feeling a tad apprehensive,fear
i scream every day and every night and no one hears and my face is starting to fall off and i feel anxious and frightened all the time and i don t think i know what anything means anymore,fear
i feel jealous whenever it is in a relationship because i dont get to talk to it anymore,anger
i stopped feeling intimidated when looking at a wod i guess that means i am learning how to find a right balance where to scale down and where to push harder,sadness
i just feel more resentful and tell myself it was better if i did not share with him,anger
i just repeat it again and again until i feel myself become less afraid,fear
i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,joy
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,anger
i feel terribly helpless sometimes but even with the limited spiritual awareness that i have i am able to find the answers as i know the end is not the outcome of my decision i ll be able to move on readjust pick up the pieces re centre myself or enjoy my decision,joy
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,anger
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,sadness
i just feel so disgusted with myself,disgust
i do feel a bit fearful that he might be feeling stressed to be drinking so much,fear
i feel about gift cards they re after thoughts and rude,anger
i began to feel distressed and a feeling of sadness and a desire to kill myself,sadness
im more than ready to meet this little man but knowing that time is running out leaves me feeling a little apprehensive,fear
i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,anger
i cant believe this is the feeling i was so afraid of not disdain or hatred instead its just actual nothingness laced with a small dash of repulsion,fear
i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown,disgust
i feel like copying the handsome boy say yay so fun,joy
i don t whoop and holler unless there s a special occasion going on but i was feeling suitably jubilant and a tad proud so out came the somewhat constipated yhhhay,joy
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
i was feeling irate and extremely uncomfortable,disgust
i go to my son s conference next week and i am already feeling nervous and apprehensive,fear
i am living a joyful life and i feel this divine beings as part of my daily life,joy
i know like the recommendation function in modern web shops while it feels a little bit strange to see the product you ve just searched for in a web shop on a totally different site s advertising,surprise
i guess im feeling a bit vulnerable and looking for some input tonight,fear
i feel less intimidated with her here to help,fear
i don t want to feel dissatisfied i want to feel happy and fulfilled i don t want to feel i am lacking of something or nothing at all life would be so emptied,joy
i am feeling afraid cos he isnt answering me again,fear
i told im i didnt want him to feel uncomfortable,disgust
i feel like you will be completely satisfied with the results,joy
i wish i could open up to people not feel so terrified of reactions and opinions,fear
i was going for a sort of handheld cam feel lol that i was just delighted,joy
i feel happy about myself hes the reason why i am where i am today,joy
i would feel resentful toward patrick because i couldnt read avery her nightly books with just her and me,anger
i got a bit caught up in the moment and forgot that at the core of the rude comments and silly songs were the real feelings of a beloved and brilliant comic actor and a very sweet and big hearted young woman,anger
we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,disgust
i feel like i have reached a plateau where im not buying as much as i use to and feeling more satisfied with my wardrobe and personal style,joy
i feel carefree and weightless and yet worried and grounded all at the same time,fear
i am feeling slightly apprehensive about tomorrow s crim exam that has a hefty weighting of but not to the point where i am sweating buckets or reaching for the razor blades,fear
i would constantly feel agitated,anger
i hate to feel threatened totally,anger
i feel very annoyed with this kind of people who comment and try to be so philosophy on their religion,anger
i feel like a vile traitor even saying such a thing but its the truth,disgust
i can t imagine that it is a newly developed tendency and the realization that i have made things so much harder on myself over the years leaves me feeling mad at myself,anger
i understand that students must pass the mcas and fulfill other tasks but as idealized in freedom writers students will respond better learn and understand faster if they feel respected and valued and if they are excited about their education,joy
i can feel myself slowly uncoiling from the fearful place inside and enjoying the time as i hope he can enjoy it and starting to actually swim around a bit rather than just walk in the water,joy
im feeling paranoid already,fear
i write him when something big has happened like a fun trip or milestone and other times i just write him to tell him how im feeling about his sweet baby snuggles or growing personality,joy
i feel a little bit weird,disgust
i do feel a little confused about my reproductive future do i want another baby deep down,sadness
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,anger
i feeling distressed,sadness
i need to move past the grief and maybe even feel angry,anger
i can get away these days with the gag line when i feel like being sarcastic that i feel sorry for anyone who wasn t fortunate enough to be born mexican,sadness
i am sure everyone of us felt that feeling at least once while some of us might get agitated easily,anger
i am thrilled for a lot of these things i feel petrified,joy
i am happy with the news comeback i am feeling agitated with some fangirls,anger
i dont know if you guys can relate but i always like to feel welcomed and see a smiling face when im having a spa treatment,joy
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,anger
i never feel ecstatic or bouncy or anxious,joy
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,anger
i still feel incredibly frustrated by it,anger
im feeling more vulnerable writing about this than i do writing about my melt downs mishaps and toddler challenges,fear
i feel eager and anxious and antsy in regards to it,fear
i feel infuriated every time that the christmas season draws near,anger
i feel i wear what i wear to show other girls at my school who are timid when it comes to fashion that you won t look weird if you walk around with your head held high,disgust
i sing i feel weird,disgust
i havent written in awhile and it feels terrific to scribble stuff down in a notebook from time to time,sadness
i want to feel playful and open and vulnerable and have a great time,fear
i guess that s where the phrase down in the dumps comes from try this think of something that is mildly upsetting for you some sort of negative emotion perhaps you were stuck in traffic or there was something on the news this morning that made you feel a bit grumpy,sadness
i just wanna say that the last three months i feel so happy about my blog,joy
i feel that i am not important enough to live not worthy enough to struggle any longer no one will miss me or even care that i have gone,sadness
i hate that feeling and its making me antsy and irritable,anger
i want to be able to get into it without feeling weird in a bathing suit,disgust
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,disgust
i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,joy
im feeling scared im going to treat this as sacred something valuable to venerate and pretend im like a cat,fear
i an expert on feeling rushed and anxious on getting worked up and frustrated because i feel overwhelmed with my job,anger
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,joy
i do feel agitated restless or on edge quite often,anger
i instantly feel anxious that a police officer is going to pull me over,fear
i am feeling fearful or upset about any situation in my life i have only to notice my reminder sitting right before me and i begin repeating this affirmation over and over again,anger
ive vented and cried and now im a little more calm and feeling less hostile,anger
i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes,joy
im pretty happy but a little on the nauseated side to feel thrilled,joy
i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated,anger
i love that she doesnt always feel brave,joy
im so stoned on endorphin that all i can feel is my leg muscles seizing into petrified meat,fear
i straight away started to feel my blood boil anger coming over me and that very nerve getting agitated,anger
i feel content just because of the weather,joy
i need to listen to a song where i can be angry and feel accepted at the same time,anger
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,sadness
i was feeling so carefree and wanted to go and have some fun,joy
i was in seoul i could help but feel jealous,anger
i know now makes me feel outraged,anger
i no longer feel happy to score well,joy
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,anger
i somehow feel distraught and hopeless,sadness
i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,anger
im feeling agitated and pour more brandy on my coffee,anger
i start to feel agitated,anger
i was thinking about going out to dinner but im feeling like i might not be bothered too,anger
i feel time is running out so i m not bothered with myself now,anger
i sometimes feel resentful that this has come into our lives at this time,anger
i want to find my essence and my substance and not feel so scared and empty and dispersed fragmented etc,fear
i do occassionally miss wearing regular earrings but i feel like my plugs have just become such a vital part of who i am that probably sounds so silly and youre rolling your eyes at me now haha,sadness
i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,joy
